t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -3.93243e-14 -5.39246e-14 -8.37712e-14 -6.98336e-14 -6.0599e-14 -4.64795e-15 -1.39766e-14 -7.92497e-14 -8.85756e-14 -1.44525e-13 3.26379e-14 1.02579e-13 9.79221e-14 4.19596e-14 -1.5382e-13 5.59022e-14 -2.70224e-13 -6.05757e-14 -3.25968e-13 -5.0974e-14 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.396614 0.397031 -0.0819604 -0.0794869 0.0341194 0.932392 0.930885 1.25243 1.22653 1.2281 1.19189 1.07282 1.07262 0.993149 0.820142 0.815286 0.72127 0.519981 0.519729 0.416275 0.9656 0.0383215 0.973752 0.969471 0.0756989 0.0482262 0.972344 0.037524 0.97395 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.0237777 0.0156086 0.0232823 0.0152834 0.022787 0.0149582 0.0222916 0.014633 0.0217962 0.0143079 0.0213009 0.0139827 0.245062 0.246491 0.239227 0.240236 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.36089 1.36358 -0.119738 -0.124735 0.277841 3.09883 3.10866 4.10467 4.05229 4.0649 3.96461 3.59535 3.59116 3.33059 2.77058 2.7424 2.43212 1.7598 1.75855 1.40972 0.91339 0.0421154 0.929758 0.924067 0.0766291 0.0510999 0.937431 0.0412778 0.940922 0.944483 0.0506135 0.0598758 0.948749 0.0571716 0.940932 0.927045 0.0484733 0.0696735 0.940925 0.0749404 0.912686 0.921546 0.0788056 0.0507764 0.928001 0.0551007 0.917643 0.924209 0.0734235 0.0716115 0.905425 0.0782306 0.934165 0.937137 0.0421074 0.0517139 0.0503336 0.0356469 0.049285 0.0349042 0.0482364 0.0341616 0.0471878 0.033419 0.0461391 0.0326763 0.0450905 0.0319337 0.357515 0.361267 0.349003 0.351849 0.340491 0.342471 0.335886 0.336593 0.327273 0.328116 0.318661 0.319632 0.312063 0.310377 0.303395 0.300197 0.294726 0.290106 0.284766 0.278988 0.276137 0.271498 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.42863 2.43602 -0.053673 -0.0988688 0.614751 5.41033 5.46709 7.18245 7.1626 7.20354 7.06042 6.42091 6.40306 5.92483 4.92974 4.85014 4.29208 3.08631 3.08179 2.4596 0.823415 0.045924 0.846022 0.848161 0.0774176 0.053757 0.893521 0.0450558 0.90051 0.915039 0.053298 0.0615027 0.918713 0.0599543 0.910148 0.894365 0.0523925 0.0724905 0.904903 0.0760195 0.873233 0.878957 0.0818069 0.0555289 0.87991 0.0597178 0.867612 0.869649 0.0756869 0.0735163 0.84191 0.0789048 0.876721 0.877232 0.0460311 0.054515 0.0651732 0.0484103 0.0638155 0.0474018 0.0624577 0.0463932 0.0610999 0.0453847 0.0597421 0.0443761 0.0583844 0.0433676 0.415008 0.421884 0.405127 0.41114 0.395245 0.40043 0.39809 0.399653 0.387883 0.390478 0.377675 0.381246 0.372364 0.369711 0.362021 0.357066 0.351677 0.344556 0.338538 0.329585 0.328279 0.320817 0.31802 0.311973 0.30338 0.300321 0.293267 0.291069 0.283154 0.281765 0.26635 0.273958 0.256485 0.264086 0.24662 0.254193
0.17 3.26707 3.27951 0.0567351 -0.0706194 0.860923 7.13873 7.27673 9.61558 9.79528 9.8944 9.77954 8.92334 8.87583 8.1851 6.79844 6.64013 5.84874 4.15678 4.14573 3.28453 0.715095 0.0496234 0.733313 0.758388 0.0779898 0.0559845 0.854519 0.0488942 0.867526 0.899007 0.0558991 0.0629684 0.901678 0.0627641 0.895791 0.881141 0.0562614 0.0753142 0.883454 0.0772983 0.85593 0.853311 0.0847389 0.0602492 0.84351 0.0639394 0.830838 0.822346 0.0780111 0.0755962 0.785118 0.0797168 0.815578 0.807838 0.0497662 0.0571839 0.0699637 0.0539769 0.0685062 0.0528524 0.0670486 0.0517279 0.065591 0.0506034 0.0641334 0.0494788 0.0626759 0.0483543 0.430721 0.439572 0.420466 0.430324 0.410211 0.421016 0.430786 0.433913 0.41974 0.425912 0.408694 0.417745 0.407921 0.404915 0.39659 0.390772 0.385259 0.376795 0.369286 0.358559 0.358095 0.348534 0.346905 0.338457 0.327613 0.32371 0.316692 0.313086 0.305772 0.30245 0.283535 0.292953 0.273034 0.281988 0.262533 0.271032
0.21 3.73762 3.7501 0.170933 -0.0677176 0.937966 7.99192 8.20875 11.0286 11.6706 11.8802 11.9012 10.9226 10.8279 9.95428 8.25677 7.99962 7.00237 4.90082 4.87969 3.82855 0.620094 0.0530789 0.624787 0.678583 0.0784731 0.0577187 0.825212 0.0528532 0.84635 0.896265 0.0583824 0.0641932 0.899842 0.0657131 0.898592 0.88682 0.0600685 0.0781058 0.881297 0.0788672 0.860348 0.848153 0.0875792 0.0649508 0.827216 0.0677881 0.813947 0.792438 0.0804147 0.0779354 0.746091 0.0804044 0.765525 0.74591 0.0534164 0.0599266 0.0692831 0.0552761 0.0678397 0.0541245 0.0663963 0.0529729 0.064953 0.0518213 0.0635096 0.0506698 0.0620662 0.0495182 0.419669 0.427511 0.409677 0.422665 0.399685 0.417559 0.445873 0.451493 0.43444 0.446123 0.423008 0.440425 0.430037 0.427539 0.418091 0.412634 0.406146 0.397902 0.388043 0.377163 0.376285 0.365567 0.364526 0.353983 0.340016 0.335497 0.328682 0.323187 0.317348 0.310954 0.288664 0.298027 0.277973 0.285907 0.267282 0.273871
0.25 3.86208 3.86322 0.265751 -0.0858655 0.862723 8.05273 8.2952 11.4547 12.8034 13.1963 13.4617 12.4625 12.3103 11.2945 9.37527 9.00504 7.82881 5.38961 5.3524 4.15163 0.55156 0.0562229 0.541268 0.61796 0.0790186 0.0590782 0.801492 0.0569645 0.831305 0.899137 0.0607319 0.0651735 0.906482 0.068876 0.910471 0.902551 0.0638229 0.0808677 0.892246 0.0807659 0.877066 0.856988 0.0903965 0.0696742 0.827636 0.0713226 0.812771 0.778621 0.0829666 0.0806138 0.724199 0.0809083 0.731024 0.699228 0.0570764 0.0628873 0.0662042 0.0544767 0.0648249 0.0533418 0.0634457 0.0522069 0.0620664 0.0510719 0.0606871 0.049937 0.0593079 0.0488021 0.396042 0.400072 0.386612 0.401194 0.377183 0.401798 0.450842 0.459784 0.439282 0.457949 0.427722 0.455589 0.445326 0.444081 0.432955 0.428941 0.420585 0.413962 0.401521 0.391559 0.389353 0.378177 0.377186 0.36489 0.347426 0.342316 0.335845 0.327991 0.324264 0.313866 0.288311 0.295964 0.277632 0.282487 0.266954 0.269203
0.29 3.74914 3.72282 0.330668 -0.110652 0.699076 7.60698 7.78816 11.1618 13.3328 13.9864 14.5759 13.6449 13.4388 12.3237 10.2672 9.7731 8.44177 5.72737 5.66256 4.33882 0.506046 0.0590592 0.483346 0.573606 0.0796924 0.0602359 0.778245 0.061217 0.815472 0.901444 0.0629443 0.0659274 0.915006 0.0722814 0.924312 0.920685 0.0675294 0.0836042 0.908656 0.0829927 0.897777 0.872559 0.0932679 0.0744451 0.838303 0.0746112 0.821021 0.775854 0.0857288 0.0836718 0.714754 0.0812923 0.709807 0.66718 0.0608008 0.0661218 0.0626575 0.0530701 0.0613522 0.0519644 0.0600468 0.0508588 0.0587414 0.0497532 0.0574361 0.0486476 0.0561307 0.0475419 0.369404 0.368104 0.360609 0.3752 0.351813 0.381523 0.449579 0.462262 0.438051 0.464533 0.426523 0.466062 0.456846 0.457382 0.444156 0.442387 0.431466 0.427523 0.41285 0.404285 0.400339 0.389141 0.387828 0.374178 0.353433 0.347609 0.341651 0.331089 0.32987 0.314909 0.286271 0.291158 0.275669 0.276178 0.265066 0.261521
0.33 3.51903 3.44643 0.366207 -0.128679 0.511923 6.95526 6.98 10.4597 13.414 14.3919 15.349 14.5542 14.3153 13.1407 11.0203 10.3945 8.92996 5.99747 5.88694 4.45627 0.476216 0.061621 0.444482 0.540122 0.0804994 0.0613316 0.753156 0.0655657 0.794759 0.900354 0.0650323 0.0664689 0.921872 0.0759271 0.936545 0.937172 0.0711808 0.0863115 0.925463 0.0855297 0.917772 0.890082 0.0962405 0.0792624 0.854057 0.077721 0.834008 0.779788 0.0887363 0.0871129 0.713571 0.0816446 0.698158 0.646337 0.0646186 0.0696398 0.0599983 0.052221 0.0587483 0.0511331 0.0574983 0.0500451 0.0562484 0.0489572 0.0549984 0.0478693 0.0537484 0.0467813 0.344621 0.337679 0.336415 0.349744 0.32821 0.360829 0.443976 0.460198 0.432592 0.467074 0.421208 0.472967 0.465774 0.468443 0.452836 0.453856 0.439898 0.439358 0.423085 0.416021 0.410264 0.399349 0.397443 0.382932 0.359527 0.352832 0.347543 0.334106 0.335559 0.315861 0.284425 0.286019 0.27389 0.269491 0.263356 0.25342
0.37 3.26166 3.1234 0.38032 -0.130915 0.345862 6.30914 6.09435 9.58771 13.1763 14.5153 15.8546 15.2435 15.0095 13.8099 11.6833 10.9227 9.34578 6.25046 6.07077 4.54297 0.456196 0.0639481 0.418556 0.513633 0.081417 0.0624537 0.726655 0.0699369 0.767999 0.895023 0.0670319 0.0668192 0.925789 0.0797962 0.94606 0.950592 0.0747595 0.0889803 0.94022 0.0883549 0.935069 0.907035 0.0993309 0.0841055 0.871606 0.0807146 0.848884 0.787561 0.0919994 0.0909155 0.717869 0.0820354 0.693013 0.633412 0.0685487 0.073438 0.0594736 0.053112 0.0582346 0.0520055 0.0569955 0.050899 0.0557565 0.0497925 0.0545175 0.048686 0.0532784 0.0475795 0.323509 0.311403 0.315807 0.327013 0.308104 0.3415 0.43519 0.454013 0.424031 0.46602 0.412872 0.476781 0.472529 0.47759 0.459403 0.463572 0.446277 0.449597 0.432376 0.426748 0.419273 0.4089 0.406171 0.391359 0.366101 0.358422 0.353898 0.337613 0.341695 0.317414 0.283563 0.281675 0.27306 0.26363 0.262558 0.246171
