t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.988256 0.0346124 0.991509 0.989528 0.0748319 0.0453209 0.99062 0.0338115 0.991225 0.990847 0.0452477 0.0567821 0.992457 0.051476 0.990583 0.986209 0.0406759 0.0644275 0.991399 0.0733042 0.983675 0.986516 0.073084 0.0413532 0.989226 0.0449122 0.986181 0.988886 0.0694409 0.0683793 0.983253 0.0786503 0.990862 0.991605 0.0337513 0.0454467 0.00327302 0.00194762 0.00320483 0.00190704 0.00313664 0.00186647 0.00306846 0.00182589 0.00300027 0.00178532 0.00293208 0.00174474 0.0605284 0.0607251 0.0590873 0.059221 0.0576461 0.0577197 0.0563395 0.0563732 0.0548949 0.0549169 0.0534503 0.0534612 0.0521011 0.0520033 0.0506539 0.0504465 0.0492066 0.0488961 0.0477074 0.0473356 0.0462617 0.0459683 0.044816 0.0445967 0.0432766 0.0431422 0.041834 0.0417614 0.0403915 0.0403766 0.0387123 0.0390138 0.0372785 0.0375827 0.0358447 0.0361505
0.05 0.396118 0.396519 -0.0827061 -0.0803514 0.0328138 0.931514 0.930117 1.25231 1.2266 1.22813 1.19194 1.07284 1.07267 0.993195 0.820171 0.815319 0.721298 0.520003 0.519751 0.416295 0.965599 0.0383215 0.973752 0.96947 0.0756989 0.0482262 0.972343 0.037524 0.973949 0.973849 0.0479056 0.0582485 0.977031 0.0543373 0.972427 0.963372 0.0445502 0.0669595 0.973763 0.0740016 0.956222 0.962583 0.0758656 0.0460332 0.968093 0.0501322 0.961574 0.96691 0.0712996 0.0698703 0.955746 0.0780551 0.972669 0.974602 0.037979 0.0486684 0.0191383 0.0123828 0.0187396 0.0121249 0.0183409 0.0118669 0.0179422 0.0116089 0.0175435 0.0113509 0.0171447 0.011093 0.245062 0.246491 0.239227 0.240235 0.233392 0.233999 0.228591 0.228847 0.22273 0.222944 0.216868 0.217042 0.211705 0.211001 0.205825 0.204421 0.199944 0.197883 0.193634 0.191099 0.187767 0.185761 0.181899 0.180395 0.175332 0.174455 0.169488 0.168997 0.163643 0.163514 0.156296 0.158311 0.150507 0.152552 0.144719 0.146785
0.09 1.34547 1.34768 -0.145866 -0.15215 0.237785 3.07472 3.08553 4.10123 4.0539 4.06521 3.96565 3.5957 3.59241 3.33168 2.77104 2.74312 2.43268 1.76016 1.7589 1.40998 0.913307 0.0421154 0.929685 0.923954 0.076629 0.0510999 0.937373 0.0412779 0.940869 0.944475 0.0506134 0.0598757 0.948752 0.0571716 0.940933 0.927049 0.0484733 0.0696735 0.940926 0.0749404 0.912691 0.921549 0.0788056 0.0507764 0.928003 0.0551007 0.917645 0.924211 0.0734235 0.0716115 0.905426 0.0782306 0.934166 0.937138 0.0421074 0.0517139 0.0277994 0.0190807 0.0272203 0.0186832 0.0266411 0.0182857 0.0260619 0.0178882 0.0254828 0.0174906 0.0249036 0.0170931 0.357508 0.36126 0.348995 0.35184 0.340483 0.342461 0.33588 0.336588 0.327268 0.328114 0.318656 0.319631 0.312063 0.310377 0.303395 0.300197 0.294727 0.290107 0.284766 0.278989 0.276137 0.271499 0.267507 0.263948 0.256904 0.254953 0.24834 0.247157 0.239777 0.239312 0.227686 0.232368 0.219253 0.224007 0.21082 0.215628
0.13 2.38476 2.39101 -0.127482 -0.17445 0.501999 5.34147 5.40031 7.17088 7.16643 7.2026 7.06199 6.42123 6.40591 5.92743 4.93039 4.85187 4.2934 3.08699 3.0825 2.4601 0.822687 0.0459228 0.845334 0.847196 0.0774161 0.0537572 0.893069 0.0450564 0.900101 0.914979 0.0532972 0.0615001 0.918724 0.0599543 0.910147 0.894379 0.0523926 0.0724905 0.904908 0.0760196 0.873257 0.878977 0.0818068 0.0555288 0.879917 0.0597178 0.867627 0.86966 0.0756868 0.0735163 0.841918 0.0789048 0.876727 0.877236 0.0460311 0.054515 0.0313932 0.0227235 0.0307392 0.0222501 0.0300852 0.0217767 0.0294311 0.0213033 0.0287771 0.0208299 0.0281231 0.0203565 0.414909 0.421793 0.405031 0.411031 0.395152 0.400305 0.398032 0.399601 0.387826 0.390448 0.37762 0.381238 0.372366 0.369711 0.362022 0.357067 0.351679 0.344558 0.338538 0.329588 0.32828 0.320819 0.318021 0.311975 0.30338 0.300322 0.293268 0.291071 0.283155 0.281766 0.266351 0.273959 0.256486 0.264087 0.246621 0.254194
0.17 3.19937 3.21042 -0.0498277 -0.180582 0.690059 7.02624 7.17037 9.5916 9.79826 9.88871 9.7794 8.9231 8.87911 8.18834 6.7988 6.64251 5.85057 4.15743 4.14663 3.28512 0.712927 0.0496163 0.731107 0.755432 0.0779826 0.0559856 0.853148 0.0488972 0.866315 0.898813 0.0558951 0.0629546 0.901676 0.0627641 0.895761 0.881157 0.0562616 0.0753141 0.883459 0.077299 0.85598 0.853356 0.0847383 0.0602488 0.843524 0.0639397 0.830875 0.822374 0.0780109 0.0755961 0.785135 0.0797168 0.815594 0.80785 0.0497663 0.057184 0.0321892 0.0244548 0.0315185 0.0239453 0.0308479 0.0234359 0.0301773 0.0229264 0.0295067 0.0224169 0.0288361 0.0219074 0.430312 0.439168 0.420066 0.429857 0.409821 0.420491 0.430548 0.433701 0.419508 0.425792 0.408469 0.417714 0.407923 0.404912 0.396592 0.390773 0.385261 0.376799 0.369287 0.358568 0.358096 0.348542 0.346906 0.338464 0.327615 0.323715 0.316695 0.31309 0.305774 0.302454 0.283538 0.292956 0.273036 0.28199 0.262535 0.271034
0.21 3.65517 3.66616 0.054005 -0.190839 0.737712 7.84541 8.07371 10.9851 11.6656 11.8649 11.8967 10.9213 10.8301 9.95692 8.25693 8.00219 7.00447 4.90127 4.88077 3.82923 0.616436 0.0530554 0.620897 0.673294 0.0784558 0.0577235 0.822563 0.0528623 0.844083 0.895843 0.0583695 0.0641529 0.89976 0.0657132 0.898484 0.886811 0.0600685 0.078105 0.881295 0.0788688 0.860408 0.848214 0.0875778 0.0649498 0.827233 0.0677889 0.814006 0.792485 0.0804141 0.077935 0.746114 0.0804044 0.765553 0.74593 0.0534165 0.0599268 0.0315164 0.0250116 0.0308598 0.0244905 0.0302033 0.0239694 0.0295467 0.0234483 0.0288901 0.0229273 0.0282335 0.0224062 0.418731 0.426543 0.408762 0.421553 0.398792 0.416311 0.445288 0.450983 0.43387 0.445832 0.422452 0.440342 0.43003 0.427523 0.418084 0.412627 0.406139 0.397904 0.388044 0.377178 0.376286 0.365582 0.364527 0.353996 0.34002 0.335508 0.328686 0.323197 0.317352 0.310962 0.288668 0.298031 0.277977 0.285911 0.267286 0.273874
0.25 3.77161 3.7705 0.151885 -0.207076 0.656265 7.88344 8.13899 11.383 12.781 13.1664 13.4505 12.4595 12.31 11.2952 9.37566 9.00723 7.83091 5.38989 5.3537 4.15251 0.546929 0.0561714 0.536274 0.610845 0.0789883 0.0590918 0.797465 0.0569835 0.827906 0.898381 0.0607026 0.0650895 0.906227 0.0688768 0.910235 0.902487 0.0638213 0.0808645 0.89222 0.0807686 0.877112 0.857043 0.0903939 0.0696721 0.827654 0.0713241 0.812841 0.778681 0.0829653 0.080613 0.724224 0.0809086 0.731064 0.699257 0.0570764 0.0628876 0.0301417 0.0248671 0.0295137 0.024349 0.0288858 0.023831 0.0282578 0.0233129 0.0276299 0.0227948 0.0270019 0.0222768 0.394512 0.398453 0.385119 0.399312 0.375726 0.399666 0.449762 0.458861 0.43823 0.457411 0.426697 0.455417 0.445287 0.444037 0.432918 0.428917 0.420549 0.413956 0.401519 0.391578 0.389351 0.378195 0.377184 0.364908 0.347431 0.342334 0.33585 0.328006 0.324269 0.31388 0.288317 0.295972 0.277638 0.282493 0.26696 0.269209
0.29 3.6546 3.62426 0.22351 -0.222362 0.499795 7.42589 7.61495 11.0567 13.2848 13.9375 14.5556 13.6385 13.4348 12.3212 10.2683 9.77423 8.44346 5.72759 5.66406 4.33996 0.500929 0.0589714 0.477877 0.565384 0.0796469 0.0602635 0.772911 0.061248 0.81089 0.900222 0.0628913 0.0657846 0.914486 0.0722842 0.923913 0.92055 0.0675233 0.0835951 0.908591 0.0829965 0.897785 0.872587 0.0932639 0.0744417 0.838324 0.0746136 0.821088 0.775918 0.0857268 0.0836705 0.714779 0.081293 0.709858 0.667218 0.0608007 0.0661221 0.028497 0.0243234 0.0279033 0.0238166 0.0273096 0.0233099 0.026716 0.0228032 0.0261223 0.0222964 0.0255286 0.0217897 0.367352 0.365917 0.358605 0.372604 0.349859 0.378541 0.447913 0.46084 0.436428 0.463683 0.424943 0.465754 0.456744 0.457291 0.444057 0.442332 0.431369 0.427501 0.41284 0.404301 0.40033 0.389158 0.387819 0.374196 0.353439 0.347631 0.341658 0.331109 0.329876 0.314927 0.286279 0.29117 0.275676 0.276188 0.265073 0.261529
0.33 3.42224 3.34292 0.263001 -0.229509 0.323627 6.7712 6.79237 10.3214 13.3352 14.3208 15.3172 14.5423 14.3063 13.1341 11.0223 10.3939 8.93068 5.99778 5.88849 4.45766 0.470877 0.0614938 0.438944 0.531362 0.0804354 0.0613754 0.746704 0.0656071 0.788913 0.898511 0.064951 0.0662578 0.921006 0.0759337 0.935964 0.936958 0.0711657 0.0862913 0.925341 0.0855345 0.917731 0.890066 0.0962346 0.0792572 0.85408 0.077724 0.834055 0.779845 0.0887338 0.0871111 0.713597 0.0816459 0.698218 0.646386 0.0646182 0.06964 0.0268174 0.0235713 0.0262587 0.0230802 0.0257001 0.0225891 0.0251414 0.0220981 0.0245827 0.021607 0.024024 0.0211159 0.342163 0.335077 0.334016 0.346587 0.32587 0.357146 0.441692 0.458208 0.430367 0.465846 0.419041 0.472464 0.465574 0.46829 0.452641 0.453758 0.439709 0.439312 0.423062 0.416027 0.410242 0.399358 0.397422 0.382943 0.359535 0.352855 0.34755 0.334128 0.335566 0.315881 0.284433 0.286035 0.273898 0.269504 0.263364 0.253431
0.37 3.16218 3.01398 0.274169 -0.225006 0.163452 6.12649 5.89332 9.42078 13.0652 14.4198 15.8085 15.2236 14.9948 13.7984 11.6862 10.9196 9.34496 6.25106 6.07211 4.54449 0.450697 0.0637829 0.413125 0.50465 0.0813303 0.0625128 0.719337 0.0699811 0.760824 0.892381 0.0669227 0.0665373 0.924497 0.0798094 0.945284 0.950302 0.0747291 0.0889423 0.940031 0.0883606 0.934976 0.906967 0.0993223 0.0840979 0.871626 0.0807178 0.848895 0.787597 0.0919968 0.0909134 0.717897 0.0820374 0.693077 0.633471 0.0685479 0.073438 0.025223 0.0227295 0.0246976 0.022256 0.0241721 0.0217824 0.0236466 0.0213089 0.0231211 0.0208354 0.0225956 0.0203618 0.320751 0.308543 0.313114 0.323462 0.305477 0.337294 0.432314 0.451394 0.421229 0.46435 0.410144 0.476015 0.472192 0.477362 0.459075 0.463422 0.445959 0.449522 0.432333 0.42674 0.419232 0.408896 0.406131 0.391359 0.36611 0.358441 0.353906 0.337632 0.341702 0.317434 0.283572 0.281693 0.273069 0.263646 0.262566 0.246185
