t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.992006 0.03967 0.988653 0.992985 0.0483047 0.0353586 0.991714 0.0338635 0.986003 0.983062 0.0364691 0.0719273 0.990901 0.0409569 0.988453 0.990245 0.0326387 0.0548888 0.989339 0.0501781 0.988823 0.993143 0.0484522 0.03693 0.989204 0.0537311 0.99123 0.985046 0.0513359 0.0376516 0.98441 0.0633601 0.986481 0.992815 0.0671594 0.0749581 0.00357807 0.00253631 0.00350353 0.00248347 0.00342898 0.00243063 0.00335444 0.00237779 0.0032799 0.00232495 0.00320535 0.00227211 0.0607578 0.0605519 0.0593112 0.0592401 0.0578646 0.057922 0.0564017 0.0560767 0.0549555 0.0545563 0.0535093 0.0530403 0.05202 0.051892 0.050575 0.0504956 0.04913 0.0490967 0.0476094 0.0475846 0.0461667 0.0462438 0.044724 0.0448966 0.0432752 0.0433639 0.0418327 0.041788 0.0403902 0.0402211 0.0387585 0.0388399 0.037323 0.0375213 0.0358875 0.0361935
0.05 0.397945 0.40036 -0.0835501 -0.0762253 0.0399451 0.938889 0.935844 1.25761 1.22644 1.21904 1.17597 1.06792 1.07039 0.99788 0.820563 0.822901 0.728765 0.523031 0.520722 0.412677 0.975299 0.0422321 0.966941 0.976878 0.0506634 0.0382213 0.975625 0.0374059 0.96172 0.957323 0.0395568 0.0715719 0.972349 0.0437104 0.967131 0.971359 0.0363424 0.0566636 0.969772 0.0524471 0.968865 0.978008 0.0513469 0.0403101 0.969384 0.0561833 0.973752 0.959209 0.0537407 0.0415187 0.957256 0.0670479 0.962349 0.97741 0.0698497 0.0777168 0.0208999 0.0156248 0.0204645 0.0152993 0.0200291 0.0149738 0.0195937 0.0146483 0.0191583 0.0143227 0.0187229 0.0139972 0.246755 0.245275 0.24088 0.240318 0.235004 0.235318 0.229103 0.226786 0.223229 0.220531 0.217354 0.214299 0.211033 0.210193 0.205171 0.204673 0.199309 0.199134 0.193028 0.192884 0.187179 0.187697 0.18133 0.18247 0.175439 0.176022 0.169591 0.169246 0.163743 0.162534 0.15652 0.157105 0.150723 0.152127 0.144926 0.147084
0.09 1.3535 1.36418 -0.159135 -0.128253 0.269967 3.1135 3.10522 4.12304 4.05891 4.02215 3.89304 3.57131 3.57973 3.35234 2.7686 2.78476 2.47385 1.77664 1.76526 1.39248 0.933699 0.0448246 0.916425 0.936638 0.0531385 0.0411246 0.944139 0.0408317 0.919998 0.919201 0.0427923 0.0718199 0.939514 0.0465107 0.931581 0.938203 0.0401036 0.0585644 0.935396 0.0548336 0.934403 0.947635 0.0542437 0.0436623 0.932282 0.0586748 0.939298 0.913029 0.0561951 0.0454781 0.90672 0.0707589 0.915761 0.942101 0.0725118 0.080174 0.0303592 0.023531 0.0297267 0.0230408 0.0290942 0.0225505 0.0284617 0.0220603 0.0278292 0.0215701 0.0271968 0.0210798 0.362079 0.358166 0.353458 0.351893 0.344837 0.345509 0.337298 0.331714 0.328649 0.322662 0.32 0.313639 0.310237 0.308405 0.30162 0.300565 0.293002 0.292683 0.283528 0.283267 0.274936 0.276088 0.266345 0.268821 0.257448 0.258758 0.248866 0.247926 0.240285 0.237245 0.228026 0.229455 0.21958 0.222981 0.211135 0.21635
0.13 2.40538 2.42954 -0.183082 -0.103322 0.582699 5.45517 5.43222 7.21719 7.1918 7.09929 6.89097 6.35565 6.37362 5.97574 4.91676 4.96289 4.40448 3.1315 3.10261 2.41765 0.853743 0.0473405 0.826727 0.863211 0.0556642 0.0439605 0.902944 0.0441389 0.874894 0.887748 0.0461199 0.0723885 0.906849 0.0493164 0.898457 0.904664 0.0438683 0.0605392 0.8994 0.057266 0.898879 0.910139 0.0570941 0.0469593 0.887323 0.0611212 0.895324 0.858759 0.0586381 0.0494907 0.842729 0.074375 0.853216 0.883335 0.0750399 0.0822423 0.0342991 0.0274845 0.0335845 0.0269119 0.03287 0.0263393 0.0321554 0.0257667 0.0314408 0.0251941 0.0307263 0.0246216 0.423764 0.416163 0.413674 0.410869 0.403585 0.405349 0.400704 0.39167 0.390429 0.381976 0.380155 0.372263 0.369142 0.366418 0.358888 0.357295 0.348634 0.348111 0.336799 0.336509 0.326593 0.328236 0.316387 0.319843 0.304704 0.306743 0.294547 0.292649 0.28439 0.278822 0.266704 0.269038 0.256826 0.262344 0.246948 0.255399
0.17 3.23923 3.27799 -0.183261 -0.0300082 0.847123 7.26076 7.2034 9.65835 9.86696 9.71331 9.49372 8.79986 8.82443 8.27026 6.76133 6.84643 6.05669 4.2399 4.18799 3.21216 0.744935 0.0497126 0.714136 0.770833 0.0580783 0.0465317 0.864804 0.0474562 0.842783 0.875969 0.0494182 0.072923 0.890712 0.0521412 0.884075 0.887298 0.0476041 0.0626 0.878745 0.0596959 0.878863 0.882161 0.0598988 0.0502586 0.852073 0.0634891 0.858915 0.815647 0.0610724 0.0535215 0.786153 0.0776641 0.793282 0.812769 0.0774432 0.0841397 0.0351558 0.02906 0.0344234 0.0284546 0.033691 0.0278492 0.0329586 0.0272437 0.0322262 0.0266383 0.0314938 0.0260329 0.442988 0.431659 0.432441 0.429518 0.421893 0.42698 0.434478 0.423716 0.423338 0.415556 0.412197 0.407253 0.403733 0.400619 0.392518 0.390562 0.381303 0.380444 0.367323 0.367118 0.356192 0.357763 0.345061 0.348297 0.329738 0.332184 0.318746 0.315577 0.307755 0.299352 0.283888 0.286587 0.273374 0.279691 0.26286 0.272509
0.21 3.71273 3.76255 -0.172708 0.0527597 0.985589 8.20363 8.09882 11.0575 11.801 11.6208 11.5111 10.7429 10.7575 10.0693 8.18187 8.29767 7.30554 5.01891 4.94584 3.72925 0.639611 0.0519693 0.611617 0.686966 0.0602048 0.0486628 0.83542 0.0509226 0.824992 0.879044 0.0525775 0.0732255 0.891747 0.0550402 0.887899 0.88833 0.0513168 0.0647904 0.877083 0.0621339 0.877567 0.87132 0.0627121 0.0536491 0.834822 0.0658044 0.839465 0.791378 0.0635537 0.0575758 0.748244 0.080441 0.748535 0.748118 0.0798252 0.0862215 0.0343763 0.0292414 0.0336601 0.0286323 0.0329439 0.0280231 0.0322278 0.0274139 0.0315116 0.0268047 0.0307954 0.0261955 0.43266 0.41906 0.422358 0.421544 0.412057 0.423421 0.450302 0.440388 0.438756 0.435348 0.42721 0.429979 0.42564 0.422723 0.413817 0.411794 0.401993 0.400819 0.386039 0.385968 0.374341 0.375192 0.362643 0.364358 0.342622 0.345045 0.331202 0.326532 0.319781 0.308502 0.289128 0.291278 0.27842 0.283368 0.267712 0.275237
0.25 3.83561 3.88799 -0.150297 0.111102 0.978985 8.31203 8.15882 11.4494 13.0002 12.8645 12.9948 12.2461 12.2263 11.4278 9.25267 9.37352 8.20709 5.52807 5.44165 4.03655 0.559013 0.0541632 0.535523 0.624166 0.0619973 0.0503454 0.811545 0.0545918 0.813298 0.886531 0.0555469 0.0732825 0.901469 0.0580716 0.900881 0.90055 0.0550211 0.0671253 0.888155 0.0646267 0.888648 0.874464 0.0655979 0.0571885 0.833179 0.068113 0.835387 0.782787 0.0661443 0.0616928 0.727863 0.0826881 0.720109 0.698668 0.0822902 0.0887081 0.0328056 0.0286401 0.0321221 0.0280434 0.0314387 0.0274468 0.0307552 0.0268501 0.0300718 0.0262534 0.0293883 0.0256568 0.406982 0.392792 0.397292 0.40031 0.387602 0.407005 0.455724 0.448763 0.444039 0.447719 0.432354 0.446125 0.441352 0.439126 0.429092 0.427439 0.416832 0.415723 0.399527 0.399565 0.38742 0.387127 0.375313 0.374709 0.350083 0.352131 0.338414 0.332081 0.326744 0.312604 0.289041 0.289777 0.278335 0.279995 0.26763 0.27014
0.29 3.71131 3.75253 -0.114546 0.130463 0.856289 7.848 7.64308 11.1192 13.5952 13.5922 14.0603 13.418 13.345 12.4616 10.0938 10.1836 8.86806 5.86634 5.7743 4.22271 0.504045 0.0563093 0.483768 0.579468 0.0635252 0.0517022 0.788001 0.0584454 0.80003 0.891802 0.0583161 0.073141 0.912522 0.0612757 0.915592 0.916626 0.058718 0.0695814 0.904651 0.0672224 0.904968 0.885453 0.0686003 0.0608923 0.84153 0.0704523 0.841226 0.784102 0.0688915 0.0659178 0.71975 0.0845081 0.704137 0.66462 0.084902 0.0916527 0.0309257 0.0276318 0.0302814 0.0270561 0.0296371 0.0264805 0.0289928 0.0259048 0.0283486 0.0253292 0.0277043 0.0247535 0.376791 0.363005 0.36782 0.375069 0.358848 0.386123 0.454716 0.451851 0.443057 0.455267 0.431397 0.457894 0.453645 0.452508 0.441044 0.440311 0.428443 0.428092 0.410875 0.410963 0.398425 0.396858 0.385974 0.382857 0.355781 0.35721 0.343921 0.335807 0.332062 0.315059 0.287368 0.286096 0.276725 0.273932 0.266082 0.261888
0.33 3.46166 3.47408 -0.0687526 0.115323 0.667746 7.12139 6.84787 10.3954 13.7346 13.9481 14.8059 14.341 14.2123 13.2706 10.8003 10.8205 9.37926 6.1179 6.02221 4.35384 0.468005 0.0583915 0.449108 0.546178 0.0648846 0.0528832 0.762007 0.0624321 0.781289 0.892471 0.0608932 0.0728346 0.921287 0.0646717 0.928442 0.932202 0.062393 0.0721195 0.921705 0.069956 0.921901 0.899526 0.0717384 0.0647485 0.855188 0.0728461 0.852254 0.790863 0.0718259 0.0702863 0.719378 0.0860361 0.69661 0.642729 0.0876899 0.0950244 0.0290017 0.0264441 0.0283975 0.0258932 0.0277933 0.0253423 0.0271891 0.0247914 0.0265849 0.0242404 0.0259807 0.0236895 0.348139 0.335039 0.33985 0.35062 0.331561 0.365052 0.449151 0.450607 0.437634 0.458847 0.426118 0.466045 0.463461 0.463749 0.450587 0.451353 0.437713 0.438929 0.421154 0.421249 0.408392 0.405671 0.39563 0.390268 0.361343 0.361976 0.349298 0.339319 0.337253 0.317393 0.285899 0.282304 0.27531 0.26761 0.264721 0.253241
0.37 3.17992 3.14395 -0.0189052 0.0790236 0.459927 6.36645 5.99373 9.52581 13.542 14.0353 15.2975 15.0624 14.8955 13.9216 11.427 11.3436 9.79872 6.33762 6.23157 4.46659 0.444449 0.0603841 0.425435 0.519396 0.0661539 0.054012 0.733636 0.0664844 0.756344 0.888239 0.0633006 0.0723845 0.926633 0.0682619 0.938361 0.945433 0.0660226 0.0747018 0.936878 0.0728492 0.937183 0.913903 0.0750123 0.0687305 0.871075 0.0753097 0.865409 0.800342 0.074965 0.0748187 0.723847 0.0873929 0.694656 0.629628 0.0906653 0.098771 0.0271707 0.0252115 0.0266046 0.0246863 0.0260385 0.024161 0.0254725 0.0236358 0.0249064 0.0231105 0.0243404 0.0225853 0.323563 0.31099 0.315859 0.328842 0.308156 0.345461 0.440091 0.44532 0.428807 0.458772 0.417523 0.470916 0.471083 0.4731 0.457997 0.460795 0.444911 0.448443 0.430533 0.430636 0.417487 0.413888 0.40444 0.397372 0.367294 0.366998 0.355051 0.343172 0.342807 0.320146 0.285337 0.279317 0.274769 0.262185 0.264201 0.245576
0.41 2.91931 2.81559 0.0291356 0.0349876 0.264521 5.71058 5.20166 8.65202 13.1124 13.92 15.5783 15.6062 15.4374 14.4551 11.9971 11.785 10.1572 6.55487 6.42323 4.57577 0.428851 0.0622656 0.408718 0.496587 0.067387 0.055174 0.704658 0.0705195 0.726467 0.879458 0.0655791 0.0718253 0.928465 0.0720398 0.945377 0.955897 0.0695791 0.0772954 0.949307 0.0759129 0.950013 0.927219 0.0784113 0.072808 0.887303 0.0778547 0.878936 0.811001 0.0783161 0.0795215 0.731465 0.0886707 0.696379 0.622692 0.0938332 0.102845 0.0254958 0.0240104 0.0249647 0.0235102 0.0244335 0.0230099 0.0239023 0.0225097 0.0233712 0.0220095 0.02284 0.0215093 0.303636 0.291237 0.296406 0.31014 0.289177 0.327782 0.428488 0.436309 0.417501 0.455332 0.406514 0.472765 0.476628 0.480676 0.463389 0.468692 0.450149 0.45663 0.438903 0.439061 0.425603 0.421481 0.412303 0.404168 0.373638 0.372323 0.361183 0.347432 0.348729 0.323403 0.285867 0.277434 0.275279 0.258084 0.264691 0.239433
