t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 -7.57478e-14 -8.8861e-14 -9.7703e-14 -1.02343e-13 -1.81615e-13 -8.38422e-14 -7.45057e-14 -6.5271e-14 -1.9115e-13 -1.95806e-13 -1.07237e-13 1.49185e-13 9.79063e-14 9.3253e-14 -1.07218e-13 6.05525e-14 -2.18922e-13 -3.30417e-13 -3.81837e-13 -5.59114e-14 0.984354 0.0503041 0.986346 0.992812 0.0345301 0.0397182 0.990917 0.0528668 0.983321 0.986799 0.0623446 0.0535491 0.982991 0.0681958 0.984965 0.984838 0.0464023 0.0576186 0.989888 0.0503056 0.98985 0.990494 0.0531828 0.0367135 0.991074 0.0465693 0.989774 0.992416 0.0429495 0.033342 0.991699 0.0755973 0.988928 0.98381 0.0767336 0.0591697 0.00183492 0.00311882 0.00179669 0.00305384 0.00175846 0.00298887 0.00172024 0.00292389 0.00168201 0.00285892 0.00164378 0.00279394 0.0602884 0.0604115 0.058853 0.0591662 0.0574175 0.0579116 0.0563552 0.0559226 0.0549102 0.0545853 0.0534652 0.0532429 0.0516032 0.0517081 0.0501698 0.0502682 0.0487364 0.0488285 0.0476358 0.0476338 0.0461923 0.0462058 0.0447488 0.0447768 0.0433573 0.0433006 0.0419121 0.0419133 0.0404669 0.0405222 0.039045 0.0389358 0.0375989 0.0373971 0.0361528 0.0358658
0.05 0.391865 0.395505 -0.0749757 -0.0878925 0.034504 0.912174 0.936256 1.24683 1.22967 1.21011 1.17087 1.05265 1.06136 0.987435 0.81984 0.819654 0.725592 0.524077 0.524201 0.421068 0.956321 0.0523845 0.961314 0.975935 0.0375342 0.0428151 0.972542 0.0563502 0.956289 0.962225 0.0647305 0.0567021 0.956853 0.0695627 0.959056 0.960257 0.0503455 0.0606717 0.969539 0.0531097 0.970359 0.972283 0.0558885 0.0400664 0.973463 0.0493925 0.97069 0.976385 0.0454974 0.0369683 0.975116 0.0776526 0.967747 0.955519 0.0787515 0.0634392 0.011687 0.018239 0.0114435 0.017859 0.0112 0.017479 0.0109566 0.0170991 0.0107131 0.0167191 0.0104696 0.0163391 0.243389 0.244277 0.237594 0.239765 0.231799 0.235189 0.228651 0.225816 0.222788 0.22057 0.216925 0.215295 0.208452 0.208925 0.202662 0.203175 0.196872 0.197422 0.193069 0.193141 0.187218 0.187414 0.181368 0.181679 0.175982 0.17561 0.170116 0.170126 0.16425 0.164616 0.158569 0.157746 0.152696 0.151224 0.146823 0.144755
0.09 1.32417 1.34182 -0.122549 -0.174649 0.240965 2.99382 3.09863 4.07995 4.06372 3.97832 3.86158 3.50683 3.534 3.30408 2.76153 2.76843 2.45803 1.78032 1.78172 1.43203 0.895771 0.0546603 0.905119 0.933441 0.0405271 0.0457466 0.936431 0.0596152 0.911747 0.922411 0.0673236 0.0599621 0.917664 0.0711322 0.918321 0.921603 0.0542431 0.0636445 0.932708 0.0559516 0.935437 0.938619 0.0586171 0.043423 0.938957 0.052265 0.934648 0.942808 0.0481613 0.04064 0.939671 0.0795645 0.924731 0.901474 0.0809804 0.067851 0.0180489 0.026507 0.0176729 0.0259548 0.0172969 0.0254025 0.0169209 0.0248503 0.0165449 0.0242981 0.0161688 0.0237458 0.353331 0.355572 0.344918 0.350348 0.336505 0.344965 0.33583 0.329633 0.327219 0.32237 0.318608 0.315045 0.304924 0.305477 0.296454 0.297253 0.287984 0.289015 0.283268 0.28365 0.274685 0.275366 0.266101 0.267063 0.258682 0.257863 0.250059 0.250058 0.241437 0.242199 0.233122 0.230929 0.224487 0.220674 0.215853 0.21055
0.13 2.3284 2.37391 -0.0897941 -0.208815 0.500619 5.15393 5.40317 7.1204 7.17932 6.98554 6.79807 6.21764 6.2562 5.85971 4.8926 4.9217 4.36519 3.13672 3.14457 2.51505 0.79897 0.0570228 0.809512 0.855946 0.0433954 0.0483366 0.889367 0.0627035 0.865511 0.886935 0.0699754 0.0631548 0.884845 0.0727953 0.882897 0.88665 0.0580746 0.0665292 0.89352 0.0587822 0.89807 0.899855 0.0613005 0.0467321 0.895056 0.0551116 0.890348 0.895555 0.0508775 0.0443129 0.886313 0.0811802 0.864042 0.829305 0.0833352 0.0723957 0.0215758 0.0299973 0.0211263 0.0293724 0.0206768 0.0287474 0.0202273 0.0281225 0.0197778 0.0274976 0.0193283 0.0268726 0.407525 0.411235 0.397822 0.407686 0.388119 0.403834 0.397478 0.388511 0.387286 0.380971 0.377094 0.373304 0.361603 0.361778 0.351559 0.352232 0.341514 0.342656 0.335833 0.336744 0.325656 0.32695 0.315479 0.31713 0.306649 0.305408 0.296428 0.296239 0.286206 0.287 0.275551 0.271411 0.265346 0.258225 0.25514 0.245281
0.17 3.09422 3.17485 -0.00793351 -0.216617 0.680458 6.70841 7.13485 9.49239 9.80175 9.50332 9.30923 8.5914 8.61246 8.07038 6.70971 6.77225 5.98768 4.24064 4.26411 3.38156 0.690298 0.0592764 0.694261 0.759062 0.0460772 0.0504975 0.845569 0.065827 0.833703 0.871577 0.0724666 0.0659996 0.87271 0.0745439 0.869096 0.871136 0.0618647 0.0693993 0.870618 0.0615665 0.875559 0.872467 0.0639492 0.0500257 0.858591 0.0578712 0.854667 0.85006 0.0536019 0.0480027 0.829539 0.0824984 0.803582 0.760161 0.0856926 0.0769626 0.0233119 0.0308357 0.0228263 0.0301933 0.0223406 0.0295509 0.0218549 0.0289085 0.0213693 0.0282661 0.0208836 0.0276237 0.420508 0.424373 0.410496 0.424396 0.400484 0.423926 0.428967 0.419832 0.417968 0.413703 0.406969 0.40733 0.395262 0.394807 0.384283 0.384409 0.373303 0.373978 0.365454 0.366867 0.354379 0.355922 0.343305 0.344967 0.33208 0.330628 0.32101 0.320209 0.309941 0.30975 0.295681 0.289579 0.28473 0.274146 0.273779 0.259076
0.21 3.50359 3.61076 0.0859459 -0.216607 0.726134 7.42048 7.98626 10.8262 11.6426 11.3176 11.2318 10.4879 10.4506 9.78811 8.09883 8.1878 7.20695 5.00609 5.05391 3.961 0.599292 0.0612627 0.591831 0.671447 0.0486065 0.0522978 0.810945 0.0691837 0.816377 0.872473 0.0746526 0.0683106 0.877762 0.0764527 0.874429 0.874616 0.0656472 0.0723312 0.868086 0.064311 0.871973 0.862481 0.0666414 0.0533915 0.838845 0.060533 0.83589 0.818094 0.0563427 0.0517729 0.783939 0.0836452 0.757441 0.707829 0.0879728 0.0814312 0.0239356 0.0302722 0.023437 0.0296415 0.0229383 0.0290109 0.0224397 0.0283802 0.021941 0.0277495 0.0214423 0.0271189 0.408268 0.410087 0.398548 0.414667 0.388827 0.418547 0.442241 0.436123 0.430901 0.432733 0.419562 0.428933 0.417322 0.416379 0.40573 0.405251 0.394138 0.394097 0.383358 0.385001 0.371741 0.372865 0.360124 0.360757 0.344901 0.343458 0.333404 0.331446 0.321907 0.319472 0.302098 0.294511 0.290909 0.27741 0.27972 0.260786
0.25 3.59082 3.7019 0.163678 -0.214605 0.654926 7.4096 8.01217 11.173 12.715 12.4979 12.6441 11.9707 11.8397 11.0782 9.14223 9.22821 8.08222 5.49431 5.56952 4.30406 0.534912 0.0629645 0.516299 0.605719 0.0510446 0.0538658 0.782409 0.0728321 0.80469 0.878712 0.0765083 0.0700647 0.889863 0.0786066 0.888856 0.888811 0.0694291 0.0753391 0.879277 0.0670545 0.881392 0.86603 0.0694568 0.0569029 0.834534 0.0631273 0.831907 0.80113 0.0591442 0.0556851 0.753971 0.0847442 0.727895 0.673072 0.0901837 0.0857675 0.0238859 0.0290308 0.0233883 0.028426 0.0228907 0.0278212 0.0223931 0.0272164 0.0218954 0.0266116 0.0213978 0.0260068 0.384771 0.38282 0.375609 0.392004 0.366448 0.400295 0.445032 0.444284 0.433621 0.444477 0.42221 0.44406 0.433672 0.432703 0.421625 0.42096 0.409579 0.409202 0.396282 0.397814 0.384274 0.384373 0.372265 0.371019 0.351918 0.350569 0.340187 0.336592 0.328457 0.322772 0.301528 0.292998 0.29036 0.274624 0.279192 0.256828
0.29 3.46594 3.5518 0.212409 -0.209676 0.517125 6.96353 7.47323 10.816 13.1637 13.1996 13.6724 13.1383 12.8997 12.0588 9.96557 10.004 8.7201 5.80905 5.90603 4.49638 0.492215 0.064449 0.464963 0.55907 0.0534294 0.0553098 0.755506 0.0767203 0.790929 0.883036 0.0780782 0.0713218 0.901744 0.0810618 0.9048 0.906442 0.0731878 0.0783843 0.89642 0.0698441 0.896783 0.877078 0.0724416 0.0605913 0.840626 0.0656956 0.837339 0.795433 0.0620567 0.0597779 0.737282 0.085864 0.711212 0.651348 0.092384 0.0900102 0.0234455 0.0275216 0.0229571 0.0269482 0.0224686 0.0263748 0.0219802 0.0258015 0.0214917 0.0252281 0.0210033 0.0246547 0.358913 0.352473 0.350368 0.365635 0.341822 0.377745 0.441541 0.447168 0.430219 0.451485 0.418898 0.454972 0.446623 0.446269 0.434217 0.434136 0.42181 0.421988 0.407343 0.408503 0.394999 0.393744 0.382656 0.379133 0.356959 0.355626 0.345061 0.339486 0.333162 0.323642 0.298316 0.289196 0.287267 0.269759 0.276219 0.250994
0.33 3.24245 3.27366 0.231963 -0.199185 0.360342 6.36098 6.65594 10.0703 13.1545 13.5596 14.4121 14.0608 13.73 12.8304 10.6656 10.6084 9.21004 6.03956 6.14307 4.61002 0.463977 0.0657902 0.430937 0.525162 0.0557735 0.0567058 0.72829 0.0807424 0.771271 0.882625 0.0794392 0.0721612 0.91025 0.0838389 0.918705 0.923369 0.0768846 0.0814114 0.914309 0.0727222 0.913456 0.891136 0.0756069 0.064453 0.852624 0.0682723 0.847692 0.796876 0.0651225 0.0640709 0.730115 0.087032 0.703129 0.638222 0.0946405 0.0942227 0.0227947 0.0259688 0.0223198 0.0254278 0.0218449 0.0248867 0.02137 0.0243457 0.0208951 0.0238047 0.0204203 0.0232637 0.33506 0.324252 0.327082 0.340387 0.319105 0.355359 0.433954 0.445638 0.422827 0.454541 0.4117 0.462373 0.456885 0.457832 0.444194 0.445599 0.431503 0.433339 0.417564 0.418244 0.40491 0.40228 0.392257 0.386521 0.36181 0.360288 0.349749 0.341981 0.337689 0.324109 0.294832 0.285246 0.283912 0.264837 0.272993 0.245185
0.37 3.00064 2.9514 0.228878 -0.181992 0.214547 5.78517 5.77288 9.17388 12.8292 13.6692 14.9201 14.7758 14.3971 13.4605 11.2958 11.102 9.60909 6.24432 6.33017 4.68988 0.44473 0.0670444 0.408461 0.499222 0.0580739 0.0581031 0.701223 0.0847658 0.745051 0.876917 0.0806892 0.0726714 0.914591 0.0869329 0.929508 0.937825 0.0804778 0.0843701 0.930302 0.0757226 0.928998 0.90562 0.0789407 0.0684629 0.867443 0.070883 0.860112 0.802461 0.068372 0.068571 0.729496 0.0882555 0.700529 0.630656 0.0970104 0.0984673 0.022047 0.024488 0.0215877 0.0239779 0.0211284 0.0234677 0.0206691 0.0229575 0.0202097 0.0224474 0.0197504 0.0219372 0.314775 0.300242 0.30728 0.318221 0.299785 0.334975 0.423654 0.439937 0.412791 0.453886 0.401928 0.466506 0.464661 0.467564 0.451753 0.455512 0.438846 0.443406 0.427044 0.427289 0.414103 0.410328 0.401162 0.393618 0.367103 0.365132 0.354866 0.344797 0.342629 0.325024 0.292183 0.282073 0.281361 0.260721 0.27054 0.240208
