t sr.HeadDorsalOutput sr.HeadVentralOutput sr.VCDorsalOutput:1 sr.VCVentralAOutput:1 sr.VCVentralPOutput:1 sr.VCDorsalOutput:2 sr.VCVentralAOutput:2 sr.VCVentralPOutput:2 sr.VCDorsalOutput:3 sr.VCVentralAOutput:3 sr.VCVentralPOutput:3 sr.VCDorsalOutput:4 sr.VCVentralAOutput:4 sr.VCVentralPOutput:4 sr.VCDorsalOutput:5 sr.VCVentralAOutput:5 sr.VCVentralPOutput:5 sr.VCDorsalOutput:6 sr.VCVentralAOutput:6 sr.VCVentralPOutput:6 DB:1 DD:1 VBA:1 VBP:1 VDA:1 VDP:1 DB:2 DD:2 VBA:2 VBP:2 VDA:2 VDP:2 DB:3 DD:3 VBA:3 VBP:3 VDA:3 VDP:3 DB:4 DD:4 VBA:4 VBP:4 VDA:4 VDP:4 DB:5 DD:5 VBA:5 VBP:5 VDA:5 VDP:5 DB:6 DD:6 VBA:6 VBP:6 VDA:6 VDP:6 m.DorsalMuscleOutput:1 m.VentralMuscleOutput:1 m.DorsalMuscleOutput:2 m.VentralMuscleOutput:2 m.DorsalMuscleOutput:3 m.VentralMuscleOutput:3 m.DorsalMuscleOutput:4 m.VentralMuscleOutput:4 m.DorsalMuscleOutput:5 m.VentralMuscleOutput:5 m.DorsalMuscleOutput:6 m.VentralMuscleOutput:6 m.DorsalMuscleOutput:7 m.VentralMuscleOutput:7 m.DorsalMuscleOutput:8 m.VentralMuscleOutput:8 m.DorsalMuscleOutput:9 m.VentralMuscleOutput:9 m.DorsalMuscleOutput:10 m.VentralMuscleOutput:10 m.DorsalMuscleOutput:11 m.VentralMuscleOutput:11 m.DorsalMuscleOutput:12 m.VentralMuscleOutput:12 m.DorsalMuscleOutput:13 m.VentralMuscleOutput:13 m.DorsalMuscleOutput:14 m.VentralMuscleOutput:14 m.DorsalMuscleOutput:15 m.VentralMuscleOutput:15 m.DorsalMuscleOutput:16 m.VentralMuscleOutput:16 m.DorsalMuscleOutput:17 m.VentralMuscleOutput:17 m.DorsalMuscleOutput:18 m.VentralMuscleOutput:18 m.DorsalMuscleOutput:19 m.VentralMuscleOutput:19 m.DorsalMuscleOutput:20 m.VentralMuscleOutput:20 m.DorsalMuscleOutput:21 m.VentralMuscleOutput:21 m.DorsalMuscleOutput:22 m.VentralMuscleOutput:22 m.DorsalMuscleOutput:23 m.VentralMuscleOutput:23 m.DorsalMuscleOutput:24 m.VentralMuscleOutput:24
0.01 3.78708e-14 4.66465e-14 4.65375e-14 1.80445e-17 6.52018e-14 1.11825e-13 7.9175e-14 7.45836e-14 -1.21219e-13 -7.92671e-14 -2.09805e-13 -1.3054e-13 -6.99296e-14 9.79027e-14 7.45923e-14 1.86419e-13 -1.39733e-13 2.79983e-14 -5.60014e-14 7.92574e-14 0.993215 0.0416226 0.991881 0.992159 0.044444 0.0596971 0.989864 0.0353291 0.990328 0.990674 0.0350714 0.0370285 0.990125 0.0433321 0.99187 0.993069 0.040836 0.0343621 0.984128 0.0774239 0.987428 0.98814 0.0738729 0.0696798 0.986138 0.0753186 0.988901 0.990563 0.0361632 0.0448251 0.992221 0.0331783 0.989563 0.990231 0.0549112 0.0480333 0.00322051 0.00237897 0.00315341 0.00232941 0.00308632 0.00227985 0.00301922 0.00223029 0.00295213 0.00218073 0.00288504 0.00213116 0.0608317 0.0607498 0.0593834 0.0593112 0.057935 0.0578722 0.0562964 0.0563228 0.0548529 0.0548881 0.0534094 0.053453 0.0519791 0.0520709 0.0505353 0.0506553 0.0490914 0.0492379 0.0473572 0.0475162 0.0459221 0.046093 0.0444871 0.0446688 0.0431401 0.0432627 0.0417021 0.0418556 0.0402641 0.0404461 0.0390673 0.0389617 0.0376204 0.0375315 0.0361734 0.0361003
0.05 0.399767 0.399501 -0.0843327 -0.0778765 0.0392237 0.943251 0.935529 1.25564 1.22703 1.22814 1.18901 1.07323 1.07384 0.997363 0.814936 0.815048 0.717957 0.517761 0.519795 0.417483 0.978362 0.0447412 0.975009 0.9752 0.0475364 0.0611339 0.971606 0.0381321 0.972087 0.973027 0.0380386 0.0395008 0.971237 0.0460812 0.976113 0.977361 0.0433555 0.0377931 0.960017 0.0796317 0.965487 0.965988 0.0763071 0.0723825 0.962221 0.0747095 0.968147 0.972302 0.0404166 0.0483321 0.975562 0.0371867 0.969601 0.970961 0.056814 0.0505264 0.0189978 0.0147063 0.0186021 0.0143999 0.0182063 0.0140935 0.0178105 0.0137872 0.0174147 0.0134808 0.0170189 0.0131744 0.247292 0.246701 0.241405 0.240854 0.235517 0.235006 0.228407 0.228522 0.22255 0.222731 0.216694 0.216937 0.21082 0.21154 0.204964 0.205801 0.199108 0.200054 0.191513 0.192402 0.18571 0.186635 0.179907 0.180864 0.174504 0.175304 0.168688 0.169716 0.162871 0.16411 0.15866 0.157951 0.152783 0.152183 0.146907 0.146408
0.09 1.36396 1.36186 -0.16033 -0.135031 0.266518 3.13847 3.10649 4.11858 4.06152 4.06445 3.95294 3.59305 3.60104 3.35363 2.74828 2.74581 2.42187 1.75047 1.76218 1.41687 0.940102 0.0478317 0.932959 0.934194 0.050685 0.0627579 0.9378 0.0409999 0.938059 0.942564 0.0410455 0.0420259 0.938847 0.0489319 0.948012 0.947279 0.0459069 0.041243 0.922111 0.0817806 0.928525 0.92698 0.0787057 0.0750574 0.920061 0.0748008 0.92932 0.935857 0.0446413 0.0517074 0.938957 0.041157 0.928723 0.929713 0.0589298 0.0531343 0.027776 0.0222023 0.0271973 0.0217397 0.0266187 0.0212772 0.02604 0.0208146 0.0254613 0.0203521 0.0248827 0.0198895 0.363518 0.361927 0.354863 0.353393 0.346208 0.344854 0.335743 0.335883 0.327135 0.327591 0.318526 0.319282 0.309936 0.311801 0.301326 0.303242 0.292717 0.294677 0.280491 0.282111 0.271992 0.273551 0.263492 0.264993 0.255246 0.257012 0.246738 0.24904 0.238229 0.241027 0.233159 0.231502 0.224523 0.223067 0.215888 0.214621
0.13 2.43619 2.42823 -0.178348 -0.120455 0.574715 5.52559 5.44675 7.21839 7.19703 7.20338 7.03607 6.40464 6.43401 5.98574 4.88003 4.86623 4.27682 3.0654 3.09857 2.48148 0.863737 0.0507959 0.851629 0.861157 0.0538088 0.0644181 0.896168 0.0439135 0.897261 0.91242 0.0440447 0.0445115 0.907409 0.0518275 0.919183 0.914592 0.0484516 0.0446844 0.8868 0.0837807 0.891931 0.885554 0.0810444 0.0777122 0.8725 0.0753389 0.882426 0.886559 0.0487656 0.0549241 0.88303 0.0449893 0.869929 0.866359 0.0611557 0.0558043 0.031574 0.0259965 0.0309162 0.0254549 0.0302584 0.0249133 0.0296006 0.0243717 0.0289428 0.0238301 0.028285 0.0232885 0.426572 0.423337 0.416416 0.413911 0.406259 0.404452 0.39835 0.398569 0.388135 0.3896 0.377921 0.380566 0.368964 0.37219 0.358715 0.361637 0.348466 0.351096 0.332623 0.334629 0.322544 0.324119 0.312464 0.313631 0.301118 0.303781 0.291081 0.294442 0.281044 0.28505 0.275266 0.272511 0.265071 0.262405 0.254876 0.2523
0.17 3.30096 3.28203 -0.163315 -0.0645627 0.831346 7.39671 7.24877 9.68126 9.87414 9.8978 9.74583 8.87977 8.93996 8.29707 6.71898 6.67965 5.83725 4.12303 4.1872 3.32876 0.755962 0.0535647 0.740056 0.770408 0.0567666 0.0658148 0.860038 0.0469116 0.864514 0.896661 0.046992 0.0468429 0.892359 0.0547338 0.904309 0.896524 0.0510181 0.0481464 0.869945 0.0856221 0.873061 0.860139 0.0833805 0.0804365 0.838206 0.0760972 0.845518 0.840332 0.0527902 0.058085 0.823309 0.0486007 0.809591 0.79635 0.0633826 0.0585049 0.0325577 0.0275575 0.0318794 0.0269834 0.0312011 0.0264092 0.0305228 0.0258351 0.0298445 0.025261 0.0291663 0.0246869 0.447131 0.441897 0.436485 0.434105 0.425839 0.426181 0.431838 0.432592 0.420765 0.424802 0.409693 0.416838 0.403853 0.40814 0.392635 0.396062 0.381417 0.384027 0.362888 0.364832 0.351891 0.352681 0.340895 0.340598 0.325215 0.32823 0.314375 0.317692 0.303534 0.307127 0.294788 0.291133 0.28387 0.279714 0.272952 0.268345
0.21 3.80694 3.77345 -0.131174 -0.00315651 0.956768 8.40422 8.1797 11.1121 11.8098 11.8859 11.8651 10.8475 10.9313 10.1191 8.15242 8.07168 7.00765 4.85651 4.95167 3.89485 0.649058 0.0561514 0.631466 0.688048 0.0594321 0.0666811 0.833891 0.0500565 0.843821 0.894774 0.049857 0.0489512 0.893902 0.0576781 0.90531 0.896782 0.053663 0.0516678 0.872425 0.0873981 0.874148 0.854842 0.0857963 0.08332 0.823774 0.0769599 0.826777 0.80825 0.0567727 0.0613484 0.775567 0.0519572 0.761833 0.736622 0.0655691 0.0612538 0.0320235 0.0278041 0.0313563 0.0272248 0.0306892 0.0266456 0.030022 0.0260663 0.0293549 0.0254871 0.0286877 0.0249078 0.437503 0.430459 0.427086 0.426901 0.41667 0.423017 0.448047 0.450101 0.436559 0.444968 0.425071 0.439498 0.426083 0.430987 0.414248 0.417786 0.402412 0.404655 0.382128 0.383757 0.370548 0.37003 0.358968 0.356434 0.337836 0.3405 0.326575 0.32841 0.315314 0.31637 0.300471 0.296216 0.289343 0.283454 0.278214 0.27083
0.25 3.95361 3.90224 -0.0877973 0.036228 0.932858 8.55523 8.25876 11.5295 13.0125 13.1956 13.4266 12.3637 12.4513 11.5046 9.25197 9.115 7.86288 5.33811 5.45242 4.23202 0.566539 0.0585955 0.547986 0.625883 0.0617848 0.0670274 0.813273 0.0533789 0.829198 0.898488 0.0526217 0.0508269 0.903727 0.0607202 0.915294 0.908493 0.0564178 0.0552555 0.886605 0.0892244 0.88769 0.863453 0.0883512 0.0864046 0.825255 0.0779161 0.823623 0.791354 0.060778 0.0648274 0.744621 0.0550683 0.72996 0.693225 0.0677501 0.0640977 0.0307354 0.0273079 0.030095 0.0267389 0.0294547 0.02617 0.0288144 0.0256011 0.0281741 0.0250322 0.0275338 0.0244633 0.411875 0.403415 0.402069 0.405518 0.392262 0.407051 0.454371 0.458434 0.44272 0.456892 0.43107 0.454813 0.442047 0.44733 0.429768 0.433435 0.417489 0.419624 0.396539 0.397816 0.384523 0.382565 0.372506 0.367512 0.34559 0.347333 0.33407 0.333259 0.322551 0.319358 0.299233 0.294509 0.28815 0.280283 0.277067 0.266312
0.29 3.84023 3.76468 -0.0376399 0.043758 0.793331 8.10563 7.73702 11.2087 13.616 13.9683 14.5401 13.5366 13.6101 12.5674 10.1287 9.92199 8.51218 5.67125 5.78337 4.423 0.510357 0.0609092 0.490462 0.58112 0.0638876 0.0670621 0.792443 0.05687 0.813578 0.901372 0.0552744 0.0524781 0.914744 0.0639106 0.927593 0.924099 0.0592799 0.0588876 0.905012 0.0911844 0.905938 0.878741 0.091073 0.0896868 0.83638 0.078999 0.830404 0.785983 0.064855 0.068572 0.728006 0.0579635 0.711056 0.664227 0.0699896 0.0670843 0.0291339 0.0264209 0.028527 0.0258705 0.02792 0.0253201 0.027313 0.0247696 0.0267061 0.0242192 0.0260991 0.0236688 0.381405 0.371769 0.372324 0.379536 0.363243 0.386493 0.454525 0.460996 0.442871 0.463633 0.431216 0.465509 0.454505 0.460197 0.44188 0.446037 0.429254 0.431956 0.408876 0.409872 0.396485 0.393241 0.384095 0.376873 0.351919 0.352385 0.340189 0.336061 0.328458 0.320054 0.295545 0.290269 0.284599 0.274506 0.273653 0.259129
0.33 3.59044 3.48028 0.0138695 0.0251839 0.593165 7.37209 6.9164 10.4784 13.7697 14.3484 15.3072 14.4515 14.5064 13.4053 10.8684 10.5795 9.03907 5.93801 6.02101 4.53643 0.473706 0.0630823 0.451912 0.547418 0.065819 0.0670077 0.768448 0.0604959 0.792865 0.900637 0.0578091 0.0539038 0.923487 0.0672766 0.938673 0.939091 0.0622267 0.0625322 0.923061 0.0933246 0.924124 0.895892 0.0939644 0.0931361 0.852283 0.0802459 0.842473 0.788174 0.0690337 0.0725898 0.721754 0.060675 0.70121 0.645702 0.0723478 0.0702528 0.0274649 0.0253572 0.0268927 0.0248289 0.0263205 0.0243006 0.0257484 0.0237723 0.0251762 0.0232441 0.024604 0.0227158 0.352403 0.341634 0.344013 0.354105 0.335622 0.365572 0.450163 0.459001 0.43862 0.466322 0.427078 0.472639 0.464422 0.470742 0.451522 0.456681 0.438621 0.442676 0.420015 0.420834 0.407287 0.403071 0.39456 0.385622 0.358261 0.357284 0.346319 0.338656 0.334377 0.320491 0.291836 0.28577 0.281027 0.268466 0.270219 0.251679
0.37 3.30157 3.14296 0.0617389 -0.00738399 0.380973 6.59923 6.02833 9.59281 13.5956 14.4422 15.8 15.1595 15.2089 14.083 11.5201 11.1381 9.49169 6.18786 6.21285 4.61565 0.449811 0.0651005 0.425791 0.520134 0.0676404 0.0670241 0.741334 0.0642047 0.766014 0.895587 0.0602339 0.0551006 0.92889 0.0708253 0.947339 0.951636 0.0652269 0.0661594 0.938646 0.0956659 0.940071 0.912375 0.097013 0.0967111 0.86987 0.081685 0.856819 0.794973 0.0733299 0.0768659 0.722659 0.0632321 0.697382 0.63434 0.0748723 0.0736353 0.0258584 0.0242434 0.0253197 0.0237383 0.024781 0.0232333 0.0242422 0.0227282 0.0237035 0.0222231 0.0231648 0.021718 0.327512 0.315549 0.319714 0.331334 0.311916 0.345982 0.442188 0.452848 0.43085 0.465387 0.419512 0.476655 0.472115 0.47938 0.459001 0.46568 0.445887 0.452001 0.430057 0.430806 0.417025 0.412219 0.403993 0.393978 0.365008 0.362565 0.352841 0.341749 0.340674 0.321535 0.28922 0.282045 0.278508 0.263243 0.267796 0.245084
